occp,age_bin,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95
6,1,72.788788,178.83035,706.85358,2433.4607,4622.6294,6802.9966,8987.8926,10936.37,13307.927,15206.452,17197.824,18799.443,20818.801,22843.547,24557.732,27269.865,30225.857,35143.211,42798.887
6,2,37.457848,199.06615,1052.6563,2872.708,4980.9028,7684.6436,10017.302,11996.153,14061.012,16268.119,18429.234,20635.85,22565.473,24420.311,27291.646,29809.156,32995.539,37094.242,45549.34
6,3,0,25.919117,734.24896,2432.6089,4665.6143,6561.1084,9196.5332,11701.077,13772.952,16087.579,18005.463,20016.02,22157.09,24254.096,26654.648,29702.875,33653.809,38982.512,47985.609
6,4,172.99057,257.50644,1279.2573,2622.2566,4743.3364,7237.5522,9428.4775,11932.273,14208.366,16294.284,18422.965,20610.869,22721.309,24586.348,27435.447,30094.916,34340.961,39701.371,48561.953
6,5,42.060608,207.30159,794.83691,2242.5093,4733.2036,6806.2051,9048.1387,11779.238,14114.979,16367.562,18419.365,20632.322,22772.266,24893.854,27511.717,30389.553,34169.207,39729.234,50633.938
6,6,15.887026,63.754044,655.21332,2368.8306,4776.0957,7093.6597,9382.7598,11588.327,13869.271,16012.269,18801.266,21093.939,23030.127,25529.156,28266.785,30874.859,36197,42300.176,52272.727
6,7,67.854866,73.424568,1206.1107,3112.6528,5560.0508,8238.2021,10401.909,12514.577,14938.266,17159.609,19594.822,21745.227,24291.82,26983.482,29364.703,32057.861,36248.473,42143.762,51989.082
6,8,9.3789606,73.266792,1513.3713,3762.6775,6058.856,8531.5908,10428.232,12990.082,14968.6,17069.74,18969.582,21382.051,23859.727,26347.877,29121.262,31936.707,35805.895,42942.84,55280.227
6,9,34.349918,86.934189,1065.7335,2727.5474,5322.2881,7955.1846,10313.746,12513.322,14413.034,16755.441,19082.375,20998.025,23270.754,26190.658,29205.521,32909.23,36223.66,43038.746,54826.711
6,10,32.126549,93.819305,1566.1448,3088.7542,4826.3208,7513.7344,9509.3281,12345.467,14524.527,16611.773,18951.924,21303.393,23855.283,26582.322,29508.643,33214.172,37479.027,44237.738,56788.977
6,11,18.579063,65.388245,1177.8057,2341.3894,3942.3137,6036.146,8771.0469,11496.008,13998.68,15985.067,18364.225,20560.186,22776.172,25800.283,28931.186,32527.287,37621.566,43589.688,57297.707
6,12,19.606003,242.08881,835.76611,2191.5728,4086.8386,6184.6904,8154.6904,10804.065,12844.935,15573.94,17721.732,20497.248,23529.111,26633.084,29802.971,34453.191,39753,47693.34,63069.887
6,13,16.094421,94.727158,888.50397,2034.7578,3613.366,5589.2876,8058.3413,10897.317,13081.943,15556.453,17961.158,20187.953,22490.895,25322.348,28667.842,32408.123,37807.969,43976.578,64553.984
6,14,5.89781,5.89781,218.6803,1408.2029,2495.2905,4758.4761,7789.4658,10580.015,12893.623,16009.548,18290.803,20948.848,23690.307,27097.109,30553.488,34392.16,38648.641,46777.168,63595.621
6,15,1.334124,19.122442,63.593239,1301.2303,2294.7673,4231.5415,6688.8525,9838.6602,12472.932,15259.65,17834.006,20833.473,23788.26,27132.107,30456.953,34709.324,41631.781,49443.523,66327.305
6,16,22.416391,23.621572,32.660439,1128.1681,2499.1865,4680.4551,7023.2632,9940.1416,12718.5,15105.664,17569.574,20615.908,23465.23,26524.344,29865.412,34383.234,38677.313,46531.969,62213.137
6,17,35.322121,148.77817,255.82355,811.66296,2028.9115,3977.8484,5679.2256,8226.4238,11352.27,14325.104,17625.23,20778.689,23938.242,26931.451,30013.408,34252.84,39440.02,47909.551,64773.629
6,18,0,0,39.218849,323.01486,1227.3951,2784.5527,5325.0127,8149.9839,11004.867,13519.528,16581.859,19860.539,22605.229,25820.98,29310.91,34164.188,40126.922,49402.777,65040.672
6,19,0,31.31991,42.132736,219.06041,389.3848,1674.0045,3121.208,4973.2588,7601.7896,10385.235,13599.739,16511.82,19683.371,23194.93,27045.787,31551.156,36639.074,43575.316,59592.84
6,20,0,0,0,0,0,1.6390643,21.213932,220.00853,848.8996,1810.2723,3437.3672,5753.1802,8074.8677,10929.486,14287.585,18854.836,24650.428,32149.932,48368.305
